0,9897
1,9918
2,9925
3,9822
4,9888
5,9741
6,9906
7,10021
8,9759
9,9773
10,9965
11,9905
12,10055
13,9865
14,9985
15,9829
16,9939
17,9941
18,9915
19,9774
20,9828
21,9887
22,10129
23,9885
24,9873
25,9812
26,10090
27,10117
28,9941
29,9888
30,9783
31,10022
32,9843
33,9831
34,9905
35,10013
36,9970
37,9929
38,9781
39,9865
40,9948
41,10037
42,9865
43,9910
44,9831
45,9942
46,10034
47,9674
48,9786
49,9806
50,10000
51,9891
52,10031
53,10007
54,10009
55,9925
56,10022
57,9712
58,9742
59,9913
60,9975
61,9987
62,9915
63,9831
64,9860
65,9855
66,10017
67,9763
68,10087
69,9860
70,9854
71,9988
72,9853
73,9969
74,9954
75,9887
76,9818
77,9767
78,9961
79,9723
80,9863
81,9944
82,9976
83,9850
84,9953
85,9787
86,9922
87,9829
88,9940
89,9835
90,9963
91,9911
92,9920
93,9798
94,9873
95,9861
96,9945
97,9841
98,9977
99,9869
100,9919
